"","X","Position","GnA","Value","age","age_group"
"1",1,"F",18,144,22,"Young Player"
"2",2,"F",17,135,21,"Young Player"
"3",3,"F",9,108,28,"Pro Player"
"4",4,"F",5,90,26,"Pro Player"
"5",5,"F",21,90,29,"Peak Player"
"6",6,"F",5,90,28,"Pro Player"
"7",7,"M",4,90,30,"Peak Player"
"8",8,"F",6,90,29,"Peak Player"
"9",9,"F",0,81,21,"Young Player"
"10",10,"M",2,81,24,"Pro Player"
"11",11,"M",13,81,27,"Pro Player"
"12",12,"M",7,81,26,"Pro Player"
"13",13,"F",4,81,26,"Pro Player"
"14",14,"F",3,76.5,24,"Pro Player"
"15",15,"F",8,76.5,29,"Peak Player"
"16",16,"F",7,76.5,29,"Peak Player"
"17",17,"M",0,72,18,"Young Player"
"18",18,"M",9,72,21,"Young Player"
"19",19,"F",6,72,24,"Pro Player"
"20",20,"M",0,72,26,"Pro Player"
"21",21,"F",3,72,34,"Veteran Player"
"22",22,"M",5,67.5,22,"Young Player"
"23",23,"D",8,67.5,23,"Pro Player"
"24",24,"D",2,67.5,24,"Pro Player"
"25",25,"D",2,67.5,27,"Pro Player"
"26",26,"M",10,63,18,"Young Player"
"27",27,"F",3,63,22,"Young Player"
"28",28,"D",5,63,21,"Young Player"
"29",29,"D",5,63,23,"Pro Player"
"30",30,"M",6,63,22,"Young Player"
"31",31,"M",1,63,25,"Pro Player"
"32",32,"F",7,63,24,"Pro Player"
"33",33,"F",5,63,24,"Pro Player"
"34",34,"D",1,63,22,"Young Player"
"35",35,"M",6,63,22,"Young Player"
"36",36,"M",8,63,26,"Pro Player"
"37",37,"M",4,63,27,"Pro Player"
"38",38,"D",1,63,28,"Pro Player"
"39",39,"F",12,63,26,"Pro Player"
"40",40,"M",4,63,26,"Pro Player"
"41",41,"G",0,63,28,"Pro Player"
"42",42,"M",1,63,29,"Peak Player"
"43",43,"M",14,58.5,18,"Young Player"
"44",44,"F",4,58.5,20,"Young Player"
"45",45,"M",1,58.5,23,"Pro Player"
"46",46,"G",0,58.5,22,"Young Player"
"47",47,"M",7,58.5,24,"Pro Player"
"48",48,"D",2,58.5,27,"Pro Player"
"49",49,"F",5,54,19,"Young Player"
"50",50,"D",0,54,23,"Pro Player"
"51",51,"F",11,54,22,"Young Player"
"52",52,"F",9,54,24,"Pro Player"
"53",53,"D",4,54,23,"Pro Player"
"54",54,"D",1,54,22,"Young Player"
"55",55,"M",0,54,24,"Pro Player"
"56",56,"D",0,54,26,"Pro Player"
"57",57,"M",2,54,28,"Pro Player"
"58",58,"D",3,54,26,"Pro Player"
"59",59,"F",18,54,25,"Pro Player"
"60",60,"M",7,54,28,"Pro Player"
"61",61,"G",0,54,29,"Peak Player"
"62",62,"G",0,54,29,"Peak Player"
"63",63,"M",1,54,29,"Peak Player"
"64",64,"F",25,54,33,"Veteran Player"
"65",65,"M",3,49.5,19,"Young Player"
"66",66,"F",3,49.5,24,"Pro Player"
"67",67,"M",2,49.5,24,"Pro Player"
"68",68,"M",6,49.5,24,"Pro Player"
"69",69,"F",3,49.5,25,"Pro Player"
"70",70,"M",1,49.5,30,"Peak Player"
"71",71,"D",7,49.5,27,"Pro Player"
"72",72,"F",3,49.5,25,"Pro Player"
"73",73,"D",1,49.5,30,"Peak Player"
"74",74,"M",0,49.5,29,"Peak Player"
"75",75,"G",0,49.5,29,"Peak Player"
"76",76,"D",4,49.5,29,"Peak Player"
"77",77,"M",8,45,18,"Young Player"
"78",78,"F",5,45,20,"Young Player"
"79",79,"D",1,45,24,"Pro Player"
"80",80,"F",4,45,21,"Young Player"
"81",81,"F",16,45,21,"Young Player"
"82",82,"F",15,45,21,"Young Player"
"83",83,"D",4,45,24,"Pro Player"
"84",84,"F",1,45,23,"Pro Player"
"85",85,"M",2,45,24,"Pro Player"
"86",86,"M",1,45,23,"Pro Player"
"87",87,"D",0,45,26,"Pro Player"
"88",88,"F",0,45,24,"Pro Player"
"89",89,"G",0,45,28,"Pro Player"
"90",90,"F",10,45,28,"Pro Player"
"91",91,"M",5,45,27,"Pro Player"
"92",92,"D",1,45,28,"Pro Player"
"93",93,"F",6,45,30,"Peak Player"
"94",94,"D",1,45,29,"Peak Player"
"95",95,"F",9,43.2,30,"Peak Player"
"96",96,"D",3,43.2,30,"Peak Player"
"97",97,"M",18,42.3,24,"Pro Player"
"98",98,"D",8,40.5,21,"Young Player"
"99",99,"M",2,40.5,24,"Pro Player"
"100",100,"M",6,40.5,25,"Pro Player"
"101",101,"F",8,40.5,24,"Pro Player"
"102",102,"D",3,40.5,28,"Pro Player"
"103",103,"D",1,40.5,25,"Pro Player"
"104",104,"F",6,40.5,26,"Pro Player"
"105",105,"F",3,40.5,24,"Pro Player"
"106",106,"M",11,40.5,25,"Pro Player"
"107",107,"D",0,40.5,25,"Pro Player"
"108",108,"D",1,40.5,27,"Pro Player"
"109",109,"F",8,40.5,27,"Pro Player"
"110",110,"F",5,40.5,29,"Peak Player"
"111",111,"F",5,40.5,29,"Peak Player"
"112",112,"M",4,40.5,29,"Peak Player"
"113",113,"M",6,40.5,27,"Pro Player"
"114",114,"F",11,40.5,36,"Veteran Player"
"115",115,"M",3,37.8,19,"Young Player"
"116",116,"F",10,37.8,22,"Young Player"
"117",117,"M",3,37.8,26,"Pro Player"
"118",118,"M",1,37.8,24,"Pro Player"
"119",119,"D",2,37.8,26,"Pro Player"
"120",120,"F",10,37.8,30,"Peak Player"
"121",121,"D",1,36,19,"Young Player"
"122",122,"D",0,36,22,"Young Player"
"123",123,"D",0,36,23,"Pro Player"
"124",124,"D",0,36,20,"Young Player"
"125",125,"F",5,36,24,"Pro Player"
"126",126,"D",0,36,23,"Pro Player"
"127",127,"F",3,36,22,"Young Player"
"128",128,"M",7,36,24,"Pro Player"
"129",129,"M",2,36,25,"Pro Player"
"130",130,"F",6,36,22,"Young Player"
"131",131,"M",5,36,25,"Pro Player"
"132",132,"D",0,36,24,"Pro Player"
"133",133,"M",2,36,22,"Young Player"
"134",134,"D",0,36,23,"Pro Player"
"135",135,"D",0,36,26,"Pro Player"
"136",136,"F",6,36,26,"Pro Player"
"137",137,"M",2,36,27,"Pro Player"
"138",138,"M",1,36,28,"Pro Player"
"139",139,"M",4,36,26,"Pro Player"
"140",140,"F",10,36,26,"Pro Player"
"141",141,"F",4,36,29,"Peak Player"
"142",142,"D",3,36,27,"Pro Player"
"143",143,"M",3,36,26,"Pro Player"
"144",144,"M",3,36,29,"Peak Player"
"145",145,"M",1,36,26,"Pro Player"
"146",146,"F",4,36,28,"Pro Player"
"147",147,"F",7,36,30,"Peak Player"
"148",148,"M",6,36,29,"Peak Player"
"149",149,"M",4,36,31,"Peak Player"
"150",150,"M",2,34.2,23,"Pro Player"
"151",151,"F",7,34.2,24,"Pro Player"
"152",152,"D",3,34.2,24,"Pro Player"
"153",153,"M",3,34.2,28,"Pro Player"
"154",154,"F",13,34.2,31,"Peak Player"
"155",155,"F",9,31.5,21,"Young Player"
"156",156,"F",0,31.5,21,"Young Player"
"157",157,"M",2,31.5,23,"Pro Player"
"158",158,"M",9,31.5,24,"Pro Player"
"159",159,"F",2,31.5,21,"Young Player"
"160",160,"F",14,31.5,21,"Young Player"
"161",161,"M",2,31.5,21,"Young Player"
"162",162,"F",3,31.5,20,"Young Player"
"163",163,"F",5,31.5,23,"Pro Player"
"164",164,"M",7,31.5,23,"Pro Player"
"165",165,"F",3,31.5,24,"Pro Player"
"166",166,"F",2,31.5,21,"Young Player"
"167",167,"M",0,31.5,25,"Pro Player"
"168",168,"D",0,31.5,22,"Young Player"
"169",169,"D",0,31.5,23,"Pro Player"
"170",170,"D",1,31.5,25,"Pro Player"
"171",171,"F",4,31.5,26,"Pro Player"
"172",172,"F",2,31.5,24,"Pro Player"
